date,title,description,sentiment,confidence
2025-07-13,Dow futures sink as Trump keeps pushing tariffs while White House suggests Powell’s job could be at risk,"After Wall Street previously downplayed risks from President Donald Trump's trade war, investors are starting to take his tariff threats more seriously.",negative,0.9233193397521973
2025-07-13,Stock market today live updates,"The stock market is coming off a losing week, though the major averages are still near record highs.",positive,0.7871739864349365
2025-07-13,"Earning week ahead: JPM, BAC, GS, MS, C, JNJ, TSM, ABT, PEP, MMM, SLB, UAL, NFLX, and more","Earnings week ahead: JPM, BAC, GS, MS, C, JNJ, TSM, ABT, PEP, MMM, SLB, UAL, NFLX, and more The upcoming week marks the beginning of earnings season, with a lineup of heavyweights across banking, healthcare, tech, and industrials. Big banks lead the charge wi…",neutral,0.650816023349762
2025-07-13,Diamond's Reason To Reject Alliance Entertainment Was Down To One Hour,"At the auction of Diamond Comic Distributors as part of Chapter 11 bankruptcy procedures, the winning bidder was Alliance Entertainment or AENT, who paid over $70 million, higher than the next-best joint bidders of Ad Populum/Sparkle Pop and Universal Distrib…",neutral,0.6816475987434387
2025-07-13,"Sealed Transcripts Over The Diamond Comics Bankruptcy Auction, Opened","A number of sealed transcripts from previous court hearings earlier in the year regarding the Diamond Comic Distributors Chapter 11 bankruptcy have now been unsealed, and they make for riveting reading for Bleeding Cool. Including just how the bankruptcy auct…",neutral,0.9284185767173767
2025-07-13,Market Resilience Challenged by Trump’s Weekend Tariff Salvo,"(Bloomberg) -- Financial markets, which have shown increasing insensitivity to tariff threats from the US, will face a test at the Monday open after...",negative,0.6816583871841431
2025-07-13,Digital Employees Will Mean We Need Non-Human Resources Departments,"Personally, I suspect that the Non-Human Resources Department of a bank will find life much easier than the Human-Resources Department!",neutral,0.7972970008850098
2025-07-13,"JPMorgan Chase To Start Charging PayPal, Venmo, Coinbase and Others for Customer Account Data After Years of Free Access: Report","The biggest bank in the US, JPMorgan, will begin charging financial technology companies for a typically free service. JPMorgan Chase has informed fintech companies such as PayPal, Venmo and Coinbase that they will need to begin paying to access their custome…",neutral,0.8227754831314087
2025-07-13,"Robinhood Markets, Inc. (NASDAQ:HOOD) Shares Acquired by TD Private Client Wealth LLC","TD Private Client Wealth LLC increased its position in Robinhood Markets, Inc. (NASDAQ:HOOD – Free Report) by 184.4% in the 1st quarter, according to its most recent filing with the SEC. The fund owned 1,829 shares of the company’s stock after purchasing an a…",positive,0.9203650951385498
2025-07-13,"Crossmark Global Holdings Inc. Has $440,000 Stake in Alexandria Real Estate Equities, Inc. (NYSE:ARE)","Crossmark Global Holdings Inc. decreased its position in Alexandria Real Estate Equities, Inc. (NYSE:ARE – Free Report) by 3.2% during the 1st quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The …",negative,0.9736778736114502
2025-07-13,Second Quarter Earnings Season Preview,"Earnings season begins this week. With the tariff overhang and higher expectations for coming quarters, forward earnings guidance from management will be crucial.",neutral,0.7434726357460022
2025-07-13,JPMorgan Chase & Co. (NYSE:JPM) Shares Bought by Fullcircle Wealth LLC,"Fullcircle Wealth LLC lifted its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 9.3% during the 1st quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 9,318 shares of the financ…",positive,0.8810964226722717
2025-07-13,Fairway Wealth LLC Trims Stake in JPMorgan Chase & Co. (NYSE:JPM),"Fairway Wealth LLC lessened its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 63.5% during the first quarter, HoldingsChannel reports. The institutional investor owned 144 shares of the financial services provider’s stock after selling 250 shares during the …",positive,0.8895746469497681
2025-07-13,JPMorgan Chase & Co. (NYSE:JPM) Shares Acquired by Washington Trust Bank,"Washington Trust Bank boosted its position in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.1% in the 1st quarter, HoldingsChannel reports. The institutional investor owned 98,301 shares of the financial services provider’s stock after buying an additional 8…",positive,0.9285433292388916
2025-07-12,JPMorgan Chase CEO Says Traders May Be Seriously Mistaken on Fed Rate Cuts: Report,"JPMorgan Chase chief executive Jamie Dimon thinks the U.S. Federal Reserve could actually raise rates, contrary to popular belief. Despite consensus expectations of a rate cut in the coming months, Dimon said in a speech in Ireland on Thursday that he thinks …",negative,0.6400619149208069
2025-07-12,Worst Spate of Downgrades Since 2021 Signals Pain,"Credit rating downgrades are becoming more frequent, the latest sign that companies are starting to perform worse and raising fresh questions about whether corporate debt valuations should be as high as they are.",negative,0.9676621556282043
2025-07-12,Worst Spate of Downgrades Since 2021 Signals Pain,"(Bloomberg) -- Credit rating downgrades are becoming more frequent, the latest sign that companies are starting to perform worse and raising fresh questions ...",negative,0.9622114896774292
2025-07-12,"Wall Street Firm Abruptly Upgrades JPMorgan and Morgan Stanley, Says Upside Scenario Now Base Case for Big Banks","Boutique investment bank KBW believes JPMorgan Chase and Morgan Stanley are primed to witness higher prices as conditions conspire to favor large US banks In a new interview on CNBC Television, KBW head of US bank research Chris McGratty says the firm has upg…",positive,0.936661958694458
2025-07-12,"JPMorgan Chase, Bank of America, Wells Fargo and Citigroup Holding $172,280,000,000 in Unrealized Losses As Bank Bond Portfolios Remain Underwater: S&P Global","The four largest banks in the US are staring at tens of billions of dollars in unrealized losses on their held-to-maturity (HTM) securities as bond portfolios remain in the red. JPMorgan Chase, Bank of America, Wells Fargo and Citigroup, according to S&P Glob…",negative,0.9517098069190979
2025-07-12,These are America's 10 strongest state economies best prepared for a recession,"With concerns about a possible recession, states are promoting themselves to business as economically strong and stable. These ten states prove it.",positive,0.7688513994216919
2025-07-12,"Football Pro Loses $240,000 in JPMorgan Chase Bank Scam, Triggering Inside Job Inquiry: Report","A pro football player has lost a huge sum of cash to a bank fraud scheme, raising suspicions of insider involvement at JPMorgan Chase. Minnesota Vikings linebacker Dallas Turner was duped out of $240,000 by a scammer who seemed to have intimate knowledge of h…",negative,0.9510117173194885
2025-07-12,Jamie Dimon Denounces Democrats,Cracks are forming in the liberal establishment. Longtime JPMorgan Chase Chairman and CEO Jamie Dimon is an establishment pillar. Liberalism is losing him: Dimon panned New York City mayoral candidate Zohran Mamdani as “more a Marxist than a socialist” and cr…,negative,0.905348002910614
2025-07-12,Five Themes for Investors to Watch as Earnings Season Kicks Off,"(Bloomberg) -- In just three months, US stocks have swung from a dramatic April selloff to new heights. Now, traders are about to see if Corporate America’s ...",positive,0.6857858896255493
2025-07-12,"Dow Jones Futures: Stocks Hold Up Amid Trump Tariffs, But This Is Worrisome; Google, AMD Near Buy Points","Dow Jones futures will open Sunday evening, along with S&P 500 futures and Nasdaq futures. President Donald Trump's renewed tariff hike push is in focus, while inflation reports could show a bigger tariff impact. Earnings season ramps up with JPMorgan Chase (…",positive,0.8206098675727844
2025-07-12,"Concurrent Investment Advisors LLC Acquires 2,696 Shares of Occidental Petroleum Corporation (NYSE:OXY)","Concurrent Investment Advisors LLC grew its position in Occidental Petroleum Corporation (NYSE:OXY – Free Report) by 61.4% in the first quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 7,084 sha…",positive,0.8317716121673584
